2025-10-17 09:55:42:120 | INFO     | mstock_utils.py           | parse_market_depth        | Raw market depth data: b"\x00\x00\xee\x02\x00\x00\x00\x00\x00\x00\xeeC\x00\x00\x00\x00\x00\x00\x08\x00\x00\x009\x03\x00\x00\x00\x00\x00\x00\xe9C\x00\x00\x00\x00\x00\x00\x07\x00\x00\x00\xb0\x04\x00\x00\x00\x00\x00\x00\xe4C\x00\x00\x00\x00\x00\x00\x08\x00\x00\x00\xc2\x01\x00\x00\x00\x00\x00\x00\xdfC\x00\x00\x00\x00\x00\x00\x04\x00\x00\x00'\x06\x00\x00\x00\x00\x00\x00\xdaC\x00\x00\x00\x00\x00\x00\x06\x00\x00\x00,\x01\x00\x00\x00\x00\x00\x00\x11D\x00\x00\x00\x00\x00\x00\x02\x00\x00\x00\xc2\x01\x00\x00\x00\x00\x00\x00\x16D\x00\x00\x00\x00\x00\x00\x03\x00\x00\x00\x84\x03\x00\x00\x00\x00\x00\x00\x1bD\x00\x00\x00\x00\x00\x00\x08\x00\x00\x00\xfb\x04\x00\x00\x00\x00\x00\x00 D\x00\x00\x00\x00\x00\x00\t\x00\x00\x00\xee\x02\x00\x00\x00\x00\x00\x00%D\x00\x00\x00\x00\x00\x00\x07\x00" | 
2025-10-17 09:55:42:125 | DEBUG    | mstock_connector.py       | _handle_message           | Market update received: {'subscription_mode': 3, 'exchange_type': 2, 'token': '45268', 'sequence_number': 0, 'exchange_timestamp': 1445162141, 'ltp': 174.1, 'last_traded_qty': 75, 'avg_traded_price': 151.22, 'volume_traded': 52926000, 'total_buy_qty': 3302175.0, 'total_sell_qty': 587250.0, 'open': 147.05, 'high': 184.4, 'low': 115.0, 'close': 163.05, 'last_traded_timestamp': 1445162141, 'open_interest': 6132825, 'open_interest_percent': 0, 'market_depth': {'bids': [{'type': 'bid', 'quantity': 750, 'price': 173.9, 'orders': 8}, {'type': 'bid', 'quantity': 825, 'price': 173.85, 'orders': 7}, {'type': 'bid', 'quantity': 1200, 'price': 173.8, 'orders': 8}, {'type': 'bid', 'quantity': 450, 'price': 173.75, 'orders': 4}, {'type': 'bid', 'quantity': 1575, 'price': 173.7, 'orders': 6}], 'asks': [{'type': 'ask', 'quantity': 300, 'price': 174.25, 'orders': 2}, {'type': 'ask', 'quantity': 450, 'price': 174.3, 'orders': 3}, {'type': 'ask', 'quantity': 900, 'price': 174.35, 'orders': 8}, {'type': 'ask', 'quantity': 1275, 'price': 174.4, 'orders': 9}, {'type': 'ask', 'quantity': 750, 'price': 174.45, 'orders': 7}]}, 'upper_circuit_limit': 0.0, 'lower_circuit_limit': 0.0, '52_week_high': 0.0, '52_week_low': 0.0} | 
2025-10-17 09:55:42:126 | DEBUG    | trade_logic.py            | set_latest_price          | Setting latest price for None (45268) to 174.1 | 
2025-10-17 09:55:42:127 | INFO     | trade_logic.py            | update_weekly_positions   | Updating weekly option 45268: Setting 'ltp' to 174.1 | 
2025-10-17 09:55:42:127 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Cash Balance 6562.1 | 
2025-10-17 09:55:42:128 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining LTP 174.1 | 
2025-10-17 09:55:42:128 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Lot size 75 | 
2025-10-17 09:55:42:129 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining No. of Lots 0 | 
2025-10-17 09:55:42:130 | DEBUG    | mstock_connector.py       | _handle_message           | Received message: b'\x03\x0245269\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x9dl#V\x00\x00\x00\x00\xef\x10\x00\x00\x00\x00\x00\x00K\x00\x00\x00\x00\x00\x00\x00?\x15\x00\x00\x00\x00\x00\x00\x8a\xa8\xb8\x05\x00\x00\x00\x00\x00\x00\x00\x00p\x0bKA\x00\x00\x00\x80bQGA\x9c\x18\x00\x00\x00\x00\x00\x00\xbc\x1b\x00\x00\x00\x00\x00\x00\x19\x0f\x00\x00\x00\x00\x00\x00\xaf\x14\x00\x00\x00\x00\x00\x00\x9dl#V\x00\x00\x00\x00\xdf\xcd\x15\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xc2\x01\x00\x00\x00\x00\x00\x00\xf4\x10\x00\x00\x00\x00\x00\x00\x02\x00\x00\x00\xbd\x06\x00\x00\x00\x00\x00\x00\xef\x10\x00\x00\x00\x00\x00\x00\n\x00\x00\x00\xc0\x12\x00\x00\x00\x00\x00\x00\xea\x10\x00\x00\x00\x00\x00\x00\x14\x00\x00\x00Q\x18\x00\x00\x00\x00\x00\x00\xe5\x10\x00\x00\x00\x00\x00\x00\x11\x00\x00\x00\xd5\x1b\x00\x00\x00\x00\x00\x00\xe0\x10\x00\x00\x00\x00\x00\x00\x11\x00\x00\x00\xa3\x02\x00\x00\x00\x00\x00\x00\xf9\x10\x00\x00\x00\x00\x00\x00\x03\x00\x00\x00Q\x18\x00\x00\x00\x00\x00\x00\xfe\x10\x00\x00\x00\x00\x00\x00\x14\x00\x00\x00\xdf\x11\x00\x00\x00\x00\x00\x00\x03\x11\x00\x00\x00\x00\x00\x00\x0f\x00\x00\x007\x14\x00\x00\x00\x00\x00\x00\x08\x11\x00\x00\x00\x00\x00\x00\x10\x00\x00\x00<\x0f\x00\x00\x00\x00\x00\x00\r\x11\x00\x00\x00\x00\x00\x00\x0c\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00' | 
2025-10-17 09:55:42:132 | INFO     | mstock_utils.py           | parse_quote_message       | Raw binary quote data: b'\x03\x0245269\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x9dl#V\x00\x00\x00\x00\xef\x10\x00\x00\x00\x00\x00\x00K\x00\x00\x00\x00\x00\x00\x00?\x15\x00\x00\x00\x00\x00\x00\x8a\xa8\xb8\x05\x00\x00\x00\x00\x00\x00\x00\x00p\x0bKA\x00\x00\x00\x80bQGA\x9c\x18\x00\x00\x00\x00\x00\x00\xbc\x1b\x00\x00\x00\x00\x00\x00\x19\x0f\x00\x00\x00\x00\x00\x00\xaf\x14\x00\x00\x00\x00\x00\x00\x9dl#V\x00\x00\x00\x00\xdf\xcd\x15\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xc2\x01\x00\x00\x00\x00\x00\x00\xf4\x10\x00\x00\x00\x00\x00\x00\x02\x00\x00\x00\xbd\x06\x00\x00\x00\x00\x00\x00\xef\x10\x00\x00\x00\x00\x00\x00\n\x00\x00\x00\xc0\x12\x00\x00\x00\x00\x00\x00\xea\x10\x00\x00\x00\x00\x00\x00\x14\x00\x00\x00Q\x18\x00\x00\x00\x00\x00\x00\xe5\x10\x00\x00\x00\x00\x00\x00\x11\x00\x00\x00\xd5\x1b\x00\x00\x00\x00\x00\x00\xe0\x10\x00\x00\x00\x00\x00\x00\x11\x00\x00\x00\xa3\x02\x00\x00\x00\x00\x00\x00\xf9\x10\x00\x00\x00\x00\x00\x00\x03\x00\x00\x00Q\x18\x00\x00\x00\x00\x00\x00\xfe\x10\x00\x00\x00\x00\x00\x00\x14\x00\x00\x00\xdf\x11\x00\x00\x00\x00\x00\x00\x03\x11\x00\x00\x00\x00\x00\x00\x0f\x00\x00\x007\x14\x00\x00\x00\x00\x00\x00\x08\x11\x00\x00\x00\x00\x00\x00\x10\x00\x00\x00<\x0f\x00\x00\x00\x00\x00\x00\r\x11\x00\x00\x00\x00\x00\x00\x0c\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00' | 
2025-10-17 09:55:42:135 | INFO     | mstock_utils.py           | parse_market_depth        | Raw market depth data: b'\x00\x00\xc2\x01\x00\x00\x00\x00\x00\x00\xf4\x10\x00\x00\x00\x00\x00\x00\x02\x00\x00\x00\xbd\x06\x00\x00\x00\x00\x00\x00\xef\x10\x00\x00\x00\x00\x00\x00\n\x00\x00\x00\xc0\x12\x00\x00\x00\x00\x00\x00\xea\x10\x00\x00\x00\x00\x00\x00\x14\x00\x00\x00Q\x18\x00\x00\x00\x00\x00\x00\xe5\x10\x00\x00\x00\x00\x00\x00\x11\x00\x00\x00\xd5\x1b\x00\x00\x00\x00\x00\x00\xe0\x10\x00\x00\x00\x00\x00\x00\x11\x00\x00\x00\xa3\x02\x00\x00\x00\x00\x00\x00\xf9\x10\x00\x00\x00\x00\x00\x00\x03\x00\x00\x00Q\x18\x00\x00\x00\x00\x00\x00\xfe\x10\x00\x00\x00\x00\x00\x00\x14\x00\x00\x00\xdf\x11\x00\x00\x00\x00\x00\x00\x03\x11\x00\x00\x00\x00\x00\x00\x0f\x00\x00\x007\x14\x00\x00\x00\x00\x00\x00\x08\x11\x00\x00\x00\x00\x00\x00\x10\x00\x00\x00<\x0f\x00\x00\x00\x00\x00\x00\r\x11\x00\x00\x00\x00\x00\x00\x0c\x00' | 
