2025-10-17 10:13:32:674 | DEBUG    | mstock_connector.py       | _handle_message           | Received message: b'\x03\x0245268\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xcbp#V\x00\x00\x00\x00\xadW\x00\x00\x00\x00\x00\x00K\x00\x00\x00\x00\x00\x00\x00U>\x00\x00\x00\x00\x00\x00\xd75\xfe\x03\x00\x00\x00\x00\x00\x00\x00\x00\t\x0bIA\x00\x00\x00\x00\x94\xb2\x13Aq9\x00\x00\x00\x00\x00\x00\xd5W\x00\x00\x00\x00\x00\x00\xec,\x00\x00\x00\x00\x00\x00\xb1?\x00\x00\x00\x00\x00\x00\xcbp#V\x00\x00\x00\x00\x0b\x01N\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x96\x00\x00\x00\x00\x00\x00\x00\x80W\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00,\x01\x00\x00\x00\x00\x00\x00qW\x00\x00\x00\x00\x00\x00\x02\x00\x00\x00\xe1\x00\x00\x00\x00\x00\x00\x00lW\x00\x00\x00\x00\x00\x00\x02\x00\x00\x00K\x00\x00\x00\x00\x00\x00\x00gW\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00X\x02\x00\x00\x00\x00\x00\x00bW\x00\x00\x00\x00\x00\x00\x04\x00\x00\x00e\x04\x00\x00\x00\x00\x00\x00\xa8W\x00\x00\x00\x00\x00\x00\x06\x00\x00\x009\x03\x00\x00\x00\x00\x00\x00\xadW\x00\x00\x00\x00\x00\x00\x0b\x00\x00\x00\xcf\x03\x00\x00\x00\x00\x00\x00\xb2W\x00\x00\x00\x00\x00\x00\x06\x00\x00\x00\x1a\x04\x00\x00\x00\x00\x00\x00\xb7W\x00\x00\x00\x00\x00\x00\t\x00\x00\x00X\x02\x00\x00\x00\x00\x00\x00\xbcW\x00\x00\x00\x00\x00\x00\x05\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00' | 
2025-10-17 10:13:32:684 | INFO     | mstock_utils.py           | parse_quote_message       | Raw binary quote data: b'\x03\x0245268\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xcbp#V\x00\x00\x00\x00\xadW\x00\x00\x00\x00\x00\x00K\x00\x00\x00\x00\x00\x00\x00U>\x00\x00\x00\x00\x00\x00\xd75\xfe\x03\x00\x00\x00\x00\x00\x00\x00\x00\t\x0bIA\x00\x00\x00\x00\x94\xb2\x13Aq9\x00\x00\x00\x00\x00\x00\xd5W\x00\x00\x00\x00\x00\x00\xec,\x00\x00\x00\x00\x00\x00\xb1?\x00\x00\x00\x00\x00\x00\xcbp#V\x00\x00\x00\x00\x0b\x01N\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x96\x00\x00\x00\x00\x00\x00\x00\x80W\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00,\x01\x00\x00\x00\x00\x00\x00qW\x00\x00\x00\x00\x00\x00\x02\x00\x00\x00\xe1\x00\x00\x00\x00\x00\x00\x00lW\x00\x00\x00\x00\x00\x00\x02\x00\x00\x00K\x00\x00\x00\x00\x00\x00\x00gW\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00X\x02\x00\x00\x00\x00\x00\x00bW\x00\x00\x00\x00\x00\x00\x04\x00\x00\x00e\x04\x00\x00\x00\x00\x00\x00\xa8W\x00\x00\x00\x00\x00\x00\x06\x00\x00\x009\x03\x00\x00\x00\x00\x00\x00\xadW\x00\x00\x00\x00\x00\x00\x0b\x00\x00\x00\xcf\x03\x00\x00\x00\x00\x00\x00\xb2W\x00\x00\x00\x00\x00\x00\x06\x00\x00\x00\x1a\x04\x00\x00\x00\x00\x00\x00\xb7W\x00\x00\x00\x00\x00\x00\t\x00\x00\x00X\x02\x00\x00\x00\x00\x00\x00\xbcW\x00\x00\x00\x00\x00\x00\x05\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00' | 
2025-10-17 10:13:32:686 | INFO     | mstock_utils.py           | parse_market_depth        | Raw market depth data: b'\x00\x00\x96\x00\x00\x00\x00\x00\x00\x00\x80W\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00,\x01\x00\x00\x00\x00\x00\x00qW\x00\x00\x00\x00\x00\x00\x02\x00\x00\x00\xe1\x00\x00\x00\x00\x00\x00\x00lW\x00\x00\x00\x00\x00\x00\x02\x00\x00\x00K\x00\x00\x00\x00\x00\x00\x00gW\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00X\x02\x00\x00\x00\x00\x00\x00bW\x00\x00\x00\x00\x00\x00\x04\x00\x00\x00e\x04\x00\x00\x00\x00\x00\x00\xa8W\x00\x00\x00\x00\x00\x00\x06\x00\x00\x009\x03\x00\x00\x00\x00\x00\x00\xadW\x00\x00\x00\x00\x00\x00\x0b\x00\x00\x00\xcf\x03\x00\x00\x00\x00\x00\x00\xb2W\x00\x00\x00\x00\x00\x00\x06\x00\x00\x00\x1a\x04\x00\x00\x00\x00\x00\x00\xb7W\x00\x00\x00\x00\x00\x00\t\x00\x00\x00X\x02\x00\x00\x00\x00\x00\x00\xbcW\x00\x00\x00\x00\x00\x00\x05\x00' | 
2025-10-17 10:13:32:686 | DEBUG    | mstock_connector.py       | _handle_message           | Market update received: {'subscription_mode': 3, 'exchange_type': 2, 'token': '45268', 'sequence_number': 0, 'exchange_timestamp': 1445163211, 'ltp': 224.45, 'last_traded_qty': 75, 'avg_traded_price': 159.57, 'volume_traded': 66991575, 'total_buy_qty': 3282450.0, 'total_sell_qty': 322725.0, 'open': 147.05, 'high': 224.85, 'low': 115.0, 'close': 163.05, 'last_traded_timestamp': 1445163211, 'open_interest': 5112075, 'open_interest_percent': 0, 'market_depth': {'bids': [{'type': 'bid', 'quantity': 150, 'price': 224.0, 'orders': 1}, {'type': 'bid', 'quantity': 300, 'price': 223.85, 'orders': 2}, {'type': 'bid', 'quantity': 225, 'price': 223.8, 'orders': 2}, {'type': 'bid', 'quantity': 75, 'price': 223.75, 'orders': 1}, {'type': 'bid', 'quantity': 600, 'price': 223.7, 'orders': 4}], 'asks': [{'type': 'ask', 'quantity': 1125, 'price': 224.4, 'orders': 6}, {'type': 'ask', 'quantity': 825, 'price': 224.45, 'orders': 11}, {'type': 'ask', 'quantity': 975, 'price': 224.5, 'orders': 6}, {'type': 'ask', 'quantity': 1050, 'price': 224.55, 'orders': 9}, {'type': 'ask', 'quantity': 600, 'price': 224.6, 'orders': 5}]}, 'upper_circuit_limit': 0.0, 'lower_circuit_limit': 0.0, '52_week_high': 0.0, '52_week_low': 0.0} | 
2025-10-17 10:13:32:687 | DEBUG    | trade_logic.py            | set_latest_price          | Setting latest price for None (45268) to 224.45 | 
2025-10-17 10:13:32:688 | INFO     | trade_logic.py            | update_weekly_positions   | Updating weekly option 45268: Setting 'ltp' to 224.45 | 
2025-10-17 10:13:32:689 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Cash Balance 6562.1 | 
2025-10-17 10:13:32:689 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining LTP 224.45 | 
2025-10-17 10:13:32:690 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Lot size 75 | 
2025-10-17 10:13:32:690 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining No. of Lots 0 | 
2025-10-17 10:13:32:691 | DEBUG    | mstock_connector.py       | _handle_message           | Received message: b'\x03\x0245269\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xcbp#V\x00\x00\x00\x00\xf8\x0c\x00\x00\x00\x00\x00\x00\xe1\x00\x00\x00\x00\x00\x00\x00\xe1\x13\x00\x00\x00\x00\x00\x00n\xc1_\x07\x00\x00\x00\x00\x00\x00\x00\x80J\x82LA\x00\x00\x00\x80\x03\xbdIA\x9c\x18\x00\x00\x00\x00\x00\x00\xbc\x1b\x00\x00\x00\x00\x00\x00\xd0\x0c\x00\x00\x00\x00\x00\x00\xaf\x14\x00\x00\x00\x00\x00\x00\xcbp#V\x00\x00\x00\x00\x80\xe9\x1c\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00m\x0b\x00\x00\x00\x00\x00\x00\xf8\x0c\x00\x00\x00\x00\x00\x00\x0b\x00\x00\x00\xb9(\x00\x00\x00\x00\x00\x00\xf3\x0c\x00\x00\x00\x00\x00\x00\x12\x00\x00\x00\xb6\x1c\x00\x00\x00\x00\x00\x00\xee\x0c\x00\x00\x00\x00\x00\x00\x14\x00\x00\x00u\x12\x00\x00\x00\x00\x00\x00\xe9\x0c\x00\x00\x00\x00\x00\x00\x0f\x00\x00\x00\xe9R\x00\x00\x00\x00\x00\x00\xe4\x0c\x00\x00\x00\x00\x00\x008\x00\x00\x002\x19\x00\x00\x00\x00\x00\x00\x02\r\x00\x00\x00\x00\x00\x00\x0f\x00\x00\x00: \x00\x00\x00\x00\x00\x00\x07\r\x00\x00\x00\x00\x00\x00\x14\x00\x00\x00\xc96\x00\x00\x00\x00\x00\x00\x0c\r\x00\x00\x00\x00\x00\x00\x1a\x00\x00\x00\x1d\x10\x00\x00\x00\x00\x00\x00\x11\r\x00\x00\x00\x00\x00\x00\r\x00\x00\x00\x04)\x00\x00\x00\x00\x00\x00\x16\r\x00\x00\x00\x00\x00\x00\x12\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00' | 
2025-10-17 10:13:32:692 | INFO     | mstock_utils.py           | parse_quote_message       | Raw binary quote data: b'\x03\x0245269\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xcbp#V\x00\x00\x00\x00\xf8\x0c\x00\x00\x00\x00\x00\x00\xe1\x00\x00\x00\x00\x00\x00\x00\xe1\x13\x00\x00\x00\x00\x00\x00n\xc1_\x07\x00\x00\x00\x00\x00\x00\x00\x80J\x82LA\x00\x00\x00\x80\x03\xbdIA\x9c\x18\x00\x00\x00\x00\x00\x00\xbc\x1b\x00\x00\x00\x00\x00\x00\xd0\x0c\x00\x00\x00\x00\x00\x00\xaf\x14\x00\x00\x00\x00\x00\x00\xcbp#V\x00\x00\x00\x00\x80\xe9\x1c\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00m\x0b\x00\x00\x00\x00\x00\x00\xf8\x0c\x00\x00\x00\x00\x00\x00\x0b\x00\x00\x00\xb9(\x00\x00\x00\x00\x00\x00\xf3\x0c\x00\x00\x00\x00\x00\x00\x12\x00\x00\x00\xb6\x1c\x00\x00\x00\x00\x00\x00\xee\x0c\x00\x00\x00\x00\x00\x00\x14\x00\x00\x00u\x12\x00\x00\x00\x00\x00\x00\xe9\x0c\x00\x00\x00\x00\x00\x00\x0f\x00\x00\x00\xe9R\x00\x00\x00\x00\x00\x00\xe4\x0c\x00\x00\x00\x00\x00\x008\x00\x00\x002\x19\x00\x00\x00\x00\x00\x00\x02\r\x00\x00\x00\x00\x00\x00\x0f\x00\x00\x00: \x00\x00\x00\x00\x00\x00\x07\r\x00\x00\x00\x00\x00\x00\x14\x00\x00\x00\xc96\x00\x00\x00\x00\x00\x00\x0c\r\x00\x00\x00\x00\x00\x00\x1a\x00\x00\x00\x1d\x10\x00\x00\x00\x00\x00\x00\x11\r\x00\x00\x00\x00\x00\x00\r\x00\x00\x00\x04)\x00\x00\x00\x00\x00\x00\x16\r\x00\x00\x00\x00\x00\x00\x12\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00' | 
2025-10-17 10:13:32:693 | INFO     | mstock_utils.py           | parse_market_depth        | Raw market depth data: b'\x00\x00m\x0b\x00\x00\x00\x00\x00\x00\xf8\x0c\x00\x00\x00\x00\x00\x00\x0b\x00\x00\x00\xb9(\x00\x00\x00\x00\x00\x00\xf3\x0c\x00\x00\x00\x00\x00\x00\x12\x00\x00\x00\xb6\x1c\x00\x00\x00\x00\x00\x00\xee\x0c\x00\x00\x00\x00\x00\x00\x14\x00\x00\x00u\x12\x00\x00\x00\x00\x00\x00\xe9\x0c\x00\x00\x00\x00\x00\x00\x0f\x00\x00\x00\xe9R\x00\x00\x00\x00\x00\x00\xe4\x0c\x00\x00\x00\x00\x00\x008\x00\x00\x002\x19\x00\x00\x00\x00\x00\x00\x02\r\x00\x00\x00\x00\x00\x00\x0f\x00\x00\x00: \x00\x00\x00\x00\x00\x00\x07\r\x00\x00\x00\x00\x00\x00\x14\x00\x00\x00\xc96\x00\x00\x00\x00\x00\x00\x0c\r\x00\x00\x00\x00\x00\x00\x1a\x00\x00\x00\x1d\x10\x00\x00\x00\x00\x00\x00\x11\r\x00\x00\x00\x00\x00\x00\r\x00\x00\x00\x04)\x00\x00\x00\x00\x00\x00\x16\r\x00\x00\x00\x00\x00\x00\x12\x00' | 
2025-10-17 10:13:32:694 | DEBUG    | mstock_connector.py       | _handle_message           | Market update received: {'subscription_mode': 3, 'exchange_type': 2, 'token': '45269', 'sequence_number': 0, 'exchange_timestamp': 1445163211, 'ltp': 33.2, 'last_traded_qty': 225, 'avg_traded_price': 50.89, 'volume_traded': 123715950, 'total_buy_qty': 3736725.0, 'total_sell_qty': 3373575.0, 'open': 63.0, 'high': 71.0, 'low': 32.8, 'close': 52.95, 'last_traded_timestamp': 1445163211, 'open_interest': 18672000, 'open_interest_percent': 0, 'market_depth': {'bids': [{'type': 'bid', 'quantity': 2925, 'price': 33.2, 'orders': 11}, {'type': 'bid', 'quantity': 10425, 'price': 33.15, 'orders': 18}, {'type': 'bid', 'quantity': 7350, 'price': 33.1, 'orders': 20}, {'type': 'bid', 'quantity': 4725, 'price': 33.05, 'orders': 15}, {'type': 'bid', 'quantity': 21225, 'price': 33.0, 'orders': 56}], 'asks': [{'type': 'ask', 'quantity': 6450, 'price': 33.3, 'orders': 15}, {'type': 'ask', 'quantity': 8250, 'price': 33.35, 'orders': 20}, {'type': 'ask', 'quantity': 14025, 'price': 33.4, 'orders': 26}, {'type': 'ask', 'quantity': 4125, 'price': 33.45, 'orders': 13}, {'type': 'ask', 'quantity': 10500, 'price': 33.5, 'orders': 18}]}, 'upper_circuit_limit': 0.0, 'lower_circuit_limit': 0.0, '52_week_high': 0.0, '52_week_low': 0.0} | 
2025-10-17 10:13:32:695 | DEBUG    | trade_logic.py            | set_latest_price          | Setting latest price for None (45269) to 33.2 | 
2025-10-17 10:13:32:696 | INFO     | trade_logic.py            | update_weekly_positions   | Updating weekly option 45269: Setting 'ltp' to 33.2 | 
2025-10-17 10:13:32:696 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Cash Balance 6562.1 | 
2025-10-17 10:13:32:697 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining LTP 33.2 | 
2025-10-17 10:13:32:698 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Lot size 75 | 
2025-10-17 10:13:32:698 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining No. of Lots 2 | 
2025-10-17 10:13:34:858 | DEBUG    | mstock_connector.py       | _handle_message           | Received message: b'\x03\x0252168\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xcdp#V\x00\x00\x00\x00\xca@\'\x00\x00\x00\x00\x00\x96\x00\x00\x00\x00\x00\x00\x00]!\'\x00\x00\x00\x00\x00*\xda\x19\x00\x00\x00\x00\x00\x00\x00\x00\x00\x88\x18\x14A\x00\x00\x00\x00\xc8\xc2\x1aA\x84\x18\'\x00\x00\x00\x00\x00\xd4@\'\x00\x00\x00\x00\x00\xe0\x0c\'\x00\x00\x00\x00\x00\xea%\'\x00\x00\x00\x00\x00\xcdp#V\x00\x00\x00\x00\xc8V\r\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00K\x00\x00\x00\x00\x00\x00\x00H@\'\x00\x00\x00\x00\x00\x01\x00\x00\x00\xe1\x00\x00\x00\x00\x00\x00\x00\xf8?\'\x00\x00\x00\x00\x00\x01\x00\x00\x00w\x01\x00\x00\x00\x00\x00\x00\xe4?\'\x00\x00\x00\x00\x00\x01\x00\x00\x00\r\x02\x00\x00\x00\x00\x00\x00\xda?\'\x00\x00\x00\x00\x00\x03\x00\x00\x00F\x05\x00\x00\x00\x00\x00\x00\xd0?\'\x00\x00\x00\x00\x00\x08\x00\x00\x00\x1fJ\x00\x00\x00\x00\x00\x00\xca@\'\x00\x00\x00\x00\x00\x0f\x00\x00\x00\xd2\x0f\x00\x00\x00\x00\x00\x00\xd4@\'\x00\x00\x00\x00\x00"\x00\x00\x00\x96\x00\x00\x00\x00\x00\x00\x00\x06A\'\x00\x00\x00\x00\x00\x01\x00\x00\x00\x84\x03\x00\x00\x00\x00\x00\x008A\'\x00\x00\x00\x00\x00\x03\x00\x00\x009\x03\x00\x00\x00\x00\x00\x00\x9cA\'\x00\x00\x00\x00\x00\x0b\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00' | 
