2025-10-17 10:29:16:648 | INFO     | mstock_adapter.py         | get_instrument_details    | Getting instrument details for NIFTY25O2025600CE from M.Stock... | 
2025-10-17 10:29:16:652 | INFO     | utils.py                  | find_matching_object      | Searching for object in instrument_list.json where name == NIFTY25O2025600CE | 
2025-10-17 10:29:16:954 | INFO     | mstock_utils.py           | instrument_details_attribute_mgmt | Raw instrument details data: {'token': '45272', 'symbol': 'NIFTY', 'name': 'NIFTY25O2025600CE', 'expiry': '20Oct2025', 'strike': '25600', 'lotsize': '75', 'instrumenttype': 'OPTIDX', 'exch_seg': 'NFO', 'tick_size': '0.05'} | 
2025-10-17 10:29:16:955 | INFO     | mstock_adapter.py         | fetch_instrument_quote    | Fetching instrument quote for NFO 45272 from M.Stock... | 
2025-10-17 10:29:17:377 | DEBUG    | mstock_adapter.py         | fetch_instrument_quote    | Instrument quote response: {'status': True, 'message': 'SUCCESS', 'errorcode': '', 'data': {'fetched': [{'exchange': 'NFO', 'tradingSymbol': 'NIFTY', 'symbolToken': '45272', 'ltp': 153.25, 'open': 86.05, 'high': 161.7, 'low': 63.1, 'close': 96.5}], 'unfetched': []}} | 
2025-10-17 10:29:17:382 | INFO     | trade_logic.py            | weekly_options_initialize | Initializing weekly option NIFTY25O2025600CE at LTP 153.25 | 
2025-10-17 10:29:17:383 | INFO     | trade_logic.py            | weekly_options_initialize |  Determining Lot size 75 | 
2025-10-17 10:29:17:383 | INFO     | mstock_adapter.py         | get_instrument_details    | Getting instrument details for NIFTY25O2025700CE from M.Stock... | 
2025-10-17 10:29:17:384 | INFO     | utils.py                  | find_matching_object      | Searching for object in instrument_list.json where name == NIFTY25O2025700CE | 
2025-10-17 10:29:17:714 | INFO     | mstock_utils.py           | instrument_details_attribute_mgmt | Raw instrument details data: {'token': '45278', 'symbol': 'NIFTY', 'name': 'NIFTY25O2025700CE', 'expiry': '20Oct2025', 'strike': '25700', 'lotsize': '75', 'instrumenttype': 'OPTIDX', 'exch_seg': 'NFO', 'tick_size': '0.05'} | 
2025-10-17 10:29:17:714 | INFO     | mstock_adapter.py         | get_ltp                   | Getting LTP for NIFTY25O2025700CE from M.Stock... | 
2025-10-17 10:29:17:715 | INFO     | mstock_adapter.py         | get_instrument_details    | Getting instrument details for NIFTY25O2025700CE from M.Stock... | 
2025-10-17 10:29:17:716 | INFO     | utils.py                  | find_matching_object      | Searching for object in instrument_list.json where name == NIFTY25O2025700CE | 
2025-10-17 10:29:18:004 | INFO     | mstock_utils.py           | instrument_details_attribute_mgmt | Raw instrument details data: {'token': '45278', 'symbol': 'NIFTY', 'name': 'NIFTY25O2025700CE', 'expiry': '20Oct2025', 'strike': '25700', 'lotsize': '75', 'instrumenttype': 'OPTIDX', 'exch_seg': 'NFO', 'tick_size': '0.05'} | 
2025-10-17 10:29:18:005 | INFO     | mstock_adapter.py         | fetch_instrument_quote    | Fetching instrument quote for NFO 45278 from M.Stock... | 
2025-10-17 10:29:18:461 | DEBUG    | mstock_adapter.py         | fetch_instrument_quote    | Instrument quote response: {'status': True, 'message': 'SUCCESS', 'errorcode': '', 'data': {'fetched': [{'exchange': 'NFO', 'tradingSymbol': 'NIFTY', 'symbolToken': '45278', 'ltp': 91.65, 'open': 44.05, 'high': 97.65, 'low': 30, 'close': 50.25}], 'unfetched': []}} | 
2025-10-17 10:29:18:466 | INFO     | trade_logic.py            | weekly_options_initialize | Initializing weekly option NIFTY25O2025700CE at LTP 91.65 | 
2025-10-17 10:29:18:466 | INFO     | trade_logic.py            | weekly_options_initialize |  Determining Lot size 75 | 
2025-10-17 10:29:18:467 | INFO     | mstock_adapter.py         | get_instrument_details    | Getting instrument details for NIFTY25O2025800CE from M.Stock... | 
2025-10-17 10:29:18:467 | INFO     | utils.py                  | find_matching_object      | Searching for object in instrument_list.json where name == NIFTY25O2025800CE | 
2025-10-17 10:29:18:712 | INFO     | mstock_utils.py           | instrument_details_attribute_mgmt | Raw instrument details data: {'token': '45282', 'symbol': 'NIFTY', 'name': 'NIFTY25O2025800CE', 'expiry': '20Oct2025', 'strike': '25800', 'lotsize': '75', 'instrumenttype': 'OPTIDX', 'exch_seg': 'NFO', 'tick_size': '0.05'} | 
2025-10-17 10:29:18:713 | INFO     | mstock_adapter.py         | get_ltp                   | Getting LTP for NIFTY25O2025800CE from M.Stock... | 
2025-10-17 10:29:18:714 | INFO     | mstock_adapter.py         | get_instrument_details    | Getting instrument details for NIFTY25O2025800CE from M.Stock... | 
2025-10-17 10:29:18:714 | INFO     | utils.py                  | find_matching_object      | Searching for object in instrument_list.json where name == NIFTY25O2025800CE | 
2025-10-17 10:29:18:989 | INFO     | mstock_utils.py           | instrument_details_attribute_mgmt | Raw instrument details data: {'token': '45282', 'symbol': 'NIFTY', 'name': 'NIFTY25O2025800CE', 'expiry': '20Oct2025', 'strike': '25800', 'lotsize': '75', 'instrumenttype': 'OPTIDX', 'exch_seg': 'NFO', 'tick_size': '0.05'} | 
2025-10-17 10:29:18:990 | INFO     | mstock_adapter.py         | fetch_instrument_quote    | Fetching instrument quote for NFO 45282 from M.Stock... | 
2025-10-17 10:29:19:053 | DEBUG    | trade_logic.py            | stop_loss_book_profit_core | Evaluating open positions for stop-loss/book-profit... | 
2025-10-17 10:29:19:083 | DEBUG    | trade_logic.py            | stop_loss_book_profit_core | {'45283': {'tradingsymbol': 'NIFTY-20Oct2025-25800-PE', 'average_price': 257.15, 'net_quantity': 75, 'latest_price': 257.15, 'instrument_token': '45283', 'exchange': 'NSE', 'lotsize': 75, 'lots': 75, 'pts_pl': 0.0, 'pct_pl': 0.0, 'total_pl': 0.0}} | 
2025-10-17 10:29:19:145 | DEBUG    | trade_logic.py            | stop_loss_book_profit_core | Evaluating position for token 45283 | 
2025-10-17 10:29:19:191 | DEBUG    | trade_logic.py            | stop_loss_book_profit_core | {'tradingsymbol': 'NIFTY-20Oct2025-25800-PE', 'average_price': 257.15, 'net_quantity': 75, 'latest_price': 257.15, 'instrument_token': '45283', 'exchange': 'NSE', 'lotsize': 75, 'lots': 75, 'pts_pl': 0.0, 'pct_pl': 0.0, 'total_pl': 0.0} | 
2025-10-17 10:29:19:222 | DEBUG    | trade_logic.py            | to_sell_or_not_to_sell    | Deciding to sell or not: Buy Price = 257.15, Current Price = 257.15 | 
2025-10-17 10:29:19:269 | DEBUG    | trade_logic.py            | calculate_point_difference | Calculating point difference: Buy Price = 257.15, Current Price = 257.15 | 
2025-10-17 10:29:19:315 | DEBUG    | trade_logic.py            | stop_loss_book_profit_core | DECISION TO SELL NIFTY-20Oct2025-25800-PE - False | 
2025-10-17 10:29:19:436 | DEBUG    | mstock_adapter.py         | fetch_instrument_quote    | Instrument quote response: {'status': True, 'message': 'SUCCESS', 'errorcode': '', 'data': {'fetched': [{'exchange': 'NFO', 'tradingSymbol': 'NIFTY', 'symbolToken': '45282', 'ltp': 48.1, 'open': 19, 'high': 51.7, 'low': 12.55, 'close': 23.35}], 'unfetched': []}} | 
2025-10-17 10:29:19:444 | INFO     | trade_logic.py            | weekly_options_initialize | Initializing weekly option NIFTY25O2025800CE at LTP 48.1 | 
2025-10-17 10:29:19:444 | INFO     | trade_logic.py            | weekly_options_initialize |  Determining Lot size 75 | 
2025-10-17 10:29:19:445 | INFO     | mstock_adapter.py         | get_instrument_details    | Getting instrument details for NIFTY25O2025900CE from M.Stock... | 
2025-10-17 10:29:19:445 | INFO     | utils.py                  | find_matching_object      | Searching for object in instrument_list.json where name == NIFTY25O2025900CE | 
2025-10-17 10:29:19:695 | INFO     | mstock_utils.py           | instrument_details_attribute_mgmt | Raw instrument details data: {'token': '45286', 'symbol': 'NIFTY', 'name': 'NIFTY25O2025900CE', 'expiry': '20Oct2025', 'strike': '25900', 'lotsize': '75', 'instrumenttype': 'OPTIDX', 'exch_seg': 'NFO', 'tick_size': '0.05'} | 
2025-10-17 10:29:19:696 | INFO     | mstock_adapter.py         | get_ltp                   | Getting LTP for NIFTY25O2025900CE from M.Stock... | 
2025-10-17 10:29:19:696 | INFO     | mstock_adapter.py         | get_instrument_details    | Getting instrument details for NIFTY25O2025900CE from M.Stock... | 
2025-10-17 10:29:19:697 | INFO     | utils.py                  | find_matching_object      | Searching for object in instrument_list.json where name == NIFTY25O2025900CE | 
2025-10-17 10:29:19:956 | INFO     | mstock_utils.py           | instrument_details_attribute_mgmt | Raw instrument details data: {'token': '45286', 'symbol': 'NIFTY', 'name': 'NIFTY25O2025900CE', 'expiry': '20Oct2025', 'strike': '25900', 'lotsize': '75', 'instrumenttype': 'OPTIDX', 'exch_seg': 'NFO', 'tick_size': '0.05'} | 
2025-10-17 10:29:19:957 | INFO     | mstock_adapter.py         | fetch_instrument_quote    | Fetching instrument quote for NFO 45286 from M.Stock... | 
2025-10-17 10:29:20:376 | DEBUG    | mstock_adapter.py         | fetch_instrument_quote    | Instrument quote response: {'status': True, 'message': 'SUCCESS', 'errorcode': '', 'data': {'fetched': [{'exchange': 'NFO', 'tradingSymbol': 'NIFTY', 'symbolToken': '45286', 'ltp': 22.8, 'open': 6.3, 'high': 25, 'low': 5, 'close': 10.5}], 'unfetched': []}} | 
2025-10-17 10:29:20:381 | INFO     | trade_logic.py            | weekly_options_initialize | Initializing weekly option NIFTY25O2025900CE at LTP 22.8 | 
2025-10-17 10:29:20:382 | INFO     | trade_logic.py            | weekly_options_initialize |  Determining Lot size 75 | 
2025-10-17 10:29:20:383 | INFO     | trade_logic.py            | get_5_weekly_option_contracts | Generating 5 weekly option contracts for NIFTY at price 25727.3 (PE) | 
2025-10-17 10:29:20:384 | DEBUG    | trade_utils.py            | get_expiry_date           | Calculating expiry date for underlying: NIFTY | 
2025-10-17 10:29:20:385 | INFO     | utils.py                  | fetch_from_json           | Fetching HOLIDAYS from constants.json. | 
2025-10-17 10:29:20:386 | DEBUG    | trade_utils.py            | get_expiry_date           | Fetched holidays: ['02-10-2025', '21-10-2025'] | 
2025-10-17 10:29:20:387 | DEBUG    | trade_utils.py            | get_expiry_date           | Adjusting expiry: 21-10-2025 is a holiday/weekend. Checking previous day. | 
2025-10-17 10:29:20:388 | INFO     | mstock_adapter.py         | format_option_symbol      | Formatting option symbol for NIFTY expiring on 2025-10-20, strike 25900, type PE... | 
2025-10-17 10:29:20:389 | INFO     | mstock_adapter.py         | format_option_symbol      | Formatting option symbol for NIFTY expiring on 2025-10-20, strike 25800, type PE... | 
2025-10-17 10:29:20:390 | INFO     | mstock_adapter.py         | format_option_symbol      | Formatting option symbol for NIFTY expiring on 2025-10-20, strike 25700, type PE... | 
2025-10-17 10:29:20:391 | INFO     | mstock_adapter.py         | format_option_symbol      | Formatting option symbol for NIFTY expiring on 2025-10-20, strike 25600, type PE... | 
2025-10-17 10:29:20:391 | INFO     | mstock_adapter.py         | format_option_symbol      | Formatting option symbol for NIFTY expiring on 2025-10-20, strike 25500, type PE... | 
2025-10-17 10:29:20:392 | INFO     | mstock_adapter.py         | get_instrument_details    | Getting instrument details for NIFTY25O2025900PE from M.Stock... | 
2025-10-17 10:29:20:392 | INFO     | utils.py                  | find_matching_object      | Searching for object in instrument_list.json where name == NIFTY25O2025900PE | 
2025-10-17 10:29:20:639 | INFO     | mstock_utils.py           | instrument_details_attribute_mgmt | Raw instrument details data: {'token': '45287', 'symbol': 'NIFTY', 'name': 'NIFTY25O2025900PE', 'expiry': '20Oct2025', 'strike': '25900', 'lotsize': '75', 'instrumenttype': 'OPTIDX', 'exch_seg': 'NFO', 'tick_size': '0.05'} | 
