2025-10-17 14:39:15:482 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining No. of Lots 0 | 
2025-10-17 14:39:15:491 | INFO     | trade_logic.py            | update_weekly_positions   | Updating weekly option 45275: Setting 'ltp' to 31.3 | 
2025-10-17 14:39:15:492 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Cash Balance 6562.1 | 
2025-10-17 14:39:15:493 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining LTP 31.3 | 
2025-10-17 14:39:15:493 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Lot size 75 | 
2025-10-17 14:39:15:494 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining No. of Lots 2 | 
2025-10-17 14:39:15:648 | INFO     | trade_logic.py            | position_data_update      | Updating position 45283: Setting 'latest_price' to 104.0 | 
2025-10-17 14:39:15:649 | DEBUG    | trade_logic.py            | calculate_point_difference | Calculating point difference: Buy Price = 257.15, Current Price = 104.0 | 
2025-10-17 14:39:15:649 | DEBUG    | trade_logic.py            | calculate_pctg_difference | Calculating percentage difference: Buy Price = 257.15, Current Price = 104.0 | 
2025-10-17 14:39:15:649 | DEBUG    | trade_logic.py            | position_data_update      | Updated 45283:latest_price to 104.0 | 
2025-10-17 14:39:15:650 | INFO     | trade_logic.py            | update_weekly_positions   | Updating weekly option 45283: Setting 'ltp' to 104.0 | 
2025-10-17 14:39:15:650 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Cash Balance 6562.1 | 
2025-10-17 14:39:15:651 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining LTP 104.0 | 
2025-10-17 14:39:15:651 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Lot size 75 | 
2025-10-17 14:39:15:652 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining No. of Lots 0 | 
2025-10-17 14:39:15:652 | INFO     | trade_logic.py            | update_weekly_positions   | Updating weekly option 45282: Setting 'ltp' to 59.85 | 
2025-10-17 14:39:15:653 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Cash Balance 6562.1 | 
2025-10-17 14:39:15:653 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining LTP 59.85 | 
2025-10-17 14:39:15:654 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Lot size 75 | 
2025-10-17 14:39:15:654 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining No. of Lots 1 | 
2025-10-17 14:39:15:690 | INFO     | trade_logic.py            | update_weekly_positions   | Updating weekly option 45287: Setting 'ltp' to 171.4 | 
2025-10-17 14:39:15:691 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Cash Balance 6562.1 | 
2025-10-17 14:39:15:691 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining LTP 171.4 | 
2025-10-17 14:39:15:692 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Lot size 75 | 
2025-10-17 14:39:15:692 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining No. of Lots 0 | 
2025-10-17 14:39:15:693 | INFO     | trade_logic.py            | update_weekly_positions   | Updating weekly option 45286: Setting 'ltp' to 26.45 | 
2025-10-17 14:39:15:694 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Cash Balance 6562.1 | 
2025-10-17 14:39:15:694 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining LTP 26.45 | 
2025-10-17 14:39:15:695 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Lot size 75 | 
2025-10-17 14:39:15:695 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining No. of Lots 3 | 
2025-10-17 14:39:15:696 | INFO     | trade_logic.py            | update_weekly_positions   | Updating weekly option 45278: Setting 'ltp' to 113.55 | 
