2025-10-17 15:19:27:339 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining LTP 22.15 | 
2025-10-17 15:19:27:349 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Lot size 75 | 
2025-10-17 15:19:27:350 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining No. of Lots 5 | 
2025-10-17 15:19:27:352 | INFO     | trade_logic.py            | update_weekly_positions   | Updating weekly option 45278: Setting 'ltp' to 97.2 | 
2025-10-17 15:19:27:353 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Cash Balance 8514.1 | 
2025-10-17 15:19:27:354 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining LTP 97.2 | 
2025-10-17 15:19:27:355 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Lot size 75 | 
2025-10-17 15:19:27:355 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining No. of Lots 1 | 
2025-10-17 15:19:27:356 | INFO     | trade_logic.py            | update_weekly_positions   | Updating weekly option 45279: Setting 'ltp' to 66.3 | 
2025-10-17 15:19:27:357 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Cash Balance 8514.1 | 
2025-10-17 15:19:27:357 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining LTP 66.3 | 
2025-10-17 15:19:27:358 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Lot size 75 | 
2025-10-17 15:19:27:358 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining No. of Lots 1 | 
2025-10-17 15:19:27:359 | INFO     | trade_logic.py            | update_weekly_positions   | Updating weekly option 45268: Setting 'ltp' to 251.95 | 
2025-10-17 15:19:27:359 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Cash Balance 8514.1 | 
2025-10-17 15:19:27:360 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining LTP 251.95 | 
2025-10-17 15:19:27:360 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Lot size 75 | 
2025-10-17 15:19:27:361 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining No. of Lots 0 | 
2025-10-17 15:19:28:237 | INFO     | trade_logic.py            | update_weekly_positions   | Updating weekly option 45282: Setting 'ltp' to 47.65 | 
2025-10-17 15:19:28:247 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Cash Balance 8514.1 | 
2025-10-17 15:19:28:249 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining LTP 47.65 | 
2025-10-17 15:19:28:250 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Lot size 75 | 
2025-10-17 15:19:28:251 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining No. of Lots 2 | 
2025-10-17 15:19:28:258 | INFO     | trade_logic.py            | update_weekly_positions   | Updating weekly option 45283: Setting 'ltp' to 115.35 | 
2025-10-17 15:19:28:262 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Cash Balance 8514.1 | 
2025-10-17 15:19:28:264 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining LTP 115.35 | 
2025-10-17 15:19:28:273 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Lot size 75 | 
2025-10-17 15:19:28:274 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining No. of Lots 0 | 
2025-10-17 15:19:28:558 | INFO     | trade_logic.py            | update_weekly_positions   | Updating weekly option 45272: Setting 'ltp' to 169.4 | 
2025-10-17 15:19:28:559 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Cash Balance 8514.1 | 
2025-10-17 15:19:28:559 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining LTP 169.4 | 
2025-10-17 15:19:28:560 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Lot size 75 | 
2025-10-17 15:19:28:561 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining No. of Lots 0 | 
2025-10-17 15:19:28:562 | INFO     | trade_logic.py            | update_weekly_positions   | Updating weekly option 45275: Setting 'ltp' to 38.35 | 
2025-10-17 15:19:28:564 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Cash Balance 8514.1 | 
2025-10-17 15:19:28:565 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining LTP 38.35 | 
2025-10-17 15:19:28:566 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Lot size 75 | 
2025-10-17 15:19:28:567 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining No. of Lots 2 | 
2025-10-17 15:19:28:915 | INFO     | trade_logic.py            | update_weekly_positions   | Updating weekly option 45287: Setting 'ltp' to 187.0 | 
2025-10-17 15:19:28:916 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Cash Balance 8514.1 | 
2025-10-17 15:19:28:917 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining LTP 187.0 | 
