timestamp,tradingsymbol,transaction_type,quantity,average_price,order_status,order_id,SeqNo,PL_RATE,PL_AMOUNT,P&L Time,timestamp_gmt,suffix,Order_Time_Line,Long_Short_Line,Order_Line,PL_Line,PL_Callout,PL_Amt
12/30/2025 9:35,NIFTY-30Dec2025-25900-CE,BUY,150,44.65,Traded,1.21225E+13,251230_1,,,,12/30/2025 4:05,CE,"t251230_1=timestamp('GMT',2025,12,30,4,5,9)",,"line.new(t251230_1,low,t251230_1,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t251230_1?None : na, style=plot.style_circles, color=color.red,linewidth=3)"
12/30/2025 9:35,NIFTY-30Dec2025-25900-CE,SELL,150,46.4,Traded,1.33225E+13,251230_2,1.8,262,0:46,12/30/2025 4:05,CE,"t251230_2=timestamp('GMT',2025,12,30,4,5,55)","line.new(t251230_2,low,t251230_2,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t251230_2,low,t251230_2,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t251230_2,low,t251230_2,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)","label.new(t251230_2, high * 1.02, text=str.tostring(1.8), xloc=xloc.bar_time, style=label.style_label_center, color=color.green, textcolor=color.white, size=size.small)",
12/30/2025 9:43,NIFTY-30Dec2025-25900-CE,BUY,75,66.4,Traded,1.15225E+13,251230_3,,,,12/30/2025 4:13,CE,"t251230_3=timestamp('GMT',2025,12,30,4,13,11)",,"line.new(t251230_3,low,t251230_3,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t251230_3?None : na, style=plot.style_circles, color=color.red,linewidth=3)"
12/30/2025 9:44,NIFTY-30Dec2025-25900-CE,SELL,75,70.15,Traded,1.12225E+13,251230_4,3.8,281,1:18,12/30/2025 4:14,CE,"t251230_4=timestamp('GMT',2025,12,30,4,14,29)","line.new(t251230_4,low,t251230_4,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t251230_4,low,t251230_4,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t251230_4,low,t251230_4,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)","label.new(t251230_4, high * 1.02, text=str.tostring(3.8), xloc=xloc.bar_time, style=label.style_label_center, color=color.green, textcolor=color.white, size=size.small)",
12/30/2025 9:49,NIFTY-30Dec2025-25900-PE,BUY,225,32,Traded,1.16225E+13,251230_5,,,,12/30/2025 4:19,PE,"t251230_5=timestamp('GMT',2025,12,30,4,19,23)",,"line.new(t251230_5,low,t251230_5,high,xloc.bar_time,extend.both,color.yellow,line.style_solid,2)",,,"plot(time==t251230_5?None : na, style=plot.style_circles, color=color.red,linewidth=3)"
12/30/2025 9:55,NIFTY-30Dec2025-25900-PE,SELL,225,18.9,Traded,1.15225E+13,251230_6,-13.1,-2948,6:19,12/30/2025 4:25,PE,"t251230_6=timestamp('GMT',2025,12,30,4,25,42)","line.new(t251230_6,low,t251230_6,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t251230_6,low,t251230_6,high,xloc.bar_time,extend.both,color.blue,line.style_solid,1)","line.new(t251230_6,low,t251230_6,high,xloc.bar_time,extend.both,color.red,line.style_solid,2)","label.new(t251230_6, high * 1.02, text=str.tostring(-13.1), xloc=xloc.bar_time, style=label.style_label_center, color=color.red, textcolor=color.white, size=size.small)",
12/30/2025 9:56,NIFTY-30Dec2025-26100-CE,BUY,150,5.85,Traded,1.18225E+13,251230_7,,,,12/30/2025 4:26,CE,"t251230_7=timestamp('GMT',2025,12,30,4,26,13)",,"line.new(t251230_7,low,t251230_7,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t251230_7?None : na, style=plot.style_circles, color=color.red,linewidth=3)"
12/30/2025 10:09,NIFTY-30Dec2025-26100-CE,SELL,150,3.25,Traded,1.36225E+13,251230_8,-2.6,-390,13:06,12/30/2025 4:39,CE,"t251230_8=timestamp('GMT',2025,12,30,4,39,19)","line.new(t251230_8,low,t251230_8,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t251230_8,low,t251230_8,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t251230_8,low,t251230_8,high,xloc.bar_time,extend.both,color.red,line.style_solid,2)","label.new(t251230_8, high * 1.02, text=str.tostring(-2.6), xloc=xloc.bar_time, style=label.style_label_center, color=color.red, textcolor=color.white, size=size.small)",
12/30/2025 10:09,NIFTY-30Dec2025-25700-PE,BUY,1800,1.35,Traded,1.16225E+13,251230_9,,,,12/30/2025 4:39,PE,"t251230_9=timestamp('GMT',2025,12,30,4,39,45)",,"line.new(t251230_9,low,t251230_9,high,xloc.bar_time,extend.both,color.yellow,line.style_solid,2)",,,"plot(time==t251230_9?None : na, style=plot.style_circles, color=color.red,linewidth=3)"
12/30/2025 10:24,NIFTY-30Dec2025-25700-PE,SELL,1800,1.2,Traded,1.33225E+13,251230_10,-0.2,-270,14:37,12/30/2025 4:54,PE,"t251230_10=timestamp('GMT',2025,12,30,4,54,22)","line.new(t251230_10,low,t251230_10,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t251230_10,low,t251230_10,high,xloc.bar_time,extend.both,color.blue,line.style_solid,1)","line.new(t251230_10,low,t251230_10,high,xloc.bar_time,extend.both,color.red,line.style_solid,2)","label.new(t251230_10, high * 1.02, text=str.tostring(-0.2), xloc=xloc.bar_time, style=label.style_label_center, color=color.red, textcolor=color.white, size=size.small)",
