timestamp,tradingsymbol,transaction_type,quantity,average_price,order_status,order_id,SeqNo,PL_RATE,PL_AMOUNT,P&L Time,timestamp_gmt,suffix,Order_Time_Line,Order_Line,Long_Short_Line,PL_Line,PL_Callout
11/21/2025 9:21,NIFTY-25Nov2025-26300-CE,BUY,75,56.75,Traded,1.39225E+12,1,,,,11/21/2025 3:51,CE,"t1=timestamp('GMT',2025,11,21,3,51,46)","line.new(t1,low,t1,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,
11/21/2025 9:24,NIFTY-25Nov2025-26300-CE,SELL,75,58.6,Traded,1.20225E+12,2,1.9,142,2:40,11/21/2025 3:54,CE,"t2=timestamp('GMT',2025,11,21,3,54,26)","line.new(t2,low,t2,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t2,low,t2,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t2,low,t2,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)","label.new(t2, high * 1.02, text=str.tostring(1.9), xloc=xloc.bar_time, style=label.style_label_center, color=color.green, textcolor=color.white, size=size.small)"
11/21/2025 9:27,NIFTY-25Nov2025-26400-CE,BUY,150,33.25,Traded,1.12225E+12,3,,,,11/21/2025 3:57,CE,"t3=timestamp('GMT',2025,11,21,3,57,11)","line.new(t3,low,t3,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,
11/21/2025 9:32,NIFTY-25Nov2025-26400-CE,SELL,150,35,Traded,1.23225E+12,4,1.8,270,5:28,11/21/2025 4:02,CE,"t4=timestamp('GMT',2025,11,21,4,2,39)","line.new(t4,low,t4,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t4,low,t4,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t4,low,t4,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)","label.new(t4, high * 1.02, text=str.tostring(1.8), xloc=xloc.bar_time, style=label.style_label_center, color=color.green, textcolor=color.white, size=size.small)"
11/21/2025 9:56,NIFTY-25Nov2025-26300-CE,BUY,75,44.45,Traded,1.37225E+13,5,,,,11/21/2025 4:26,CE,"t5=timestamp('GMT',2025,11,21,4,26,52)","line.new(t5,low,t5,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,
11/21/2025 9:58,NIFTY-25Nov2025-26300-CE,SELL,75,46.4,Traded,1.29225E+13,6,1.9,142,1:50,11/21/2025 4:28,CE,"t6=timestamp('GMT',2025,11,21,4,28,42)","line.new(t6,low,t6,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t6,low,t6,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t6,low,t6,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)","label.new(t6, high * 1.02, text=str.tostring(1.9), xloc=xloc.bar_time, style=label.style_label_center, color=color.green, textcolor=color.white, size=size.small)"
11/21/2025 10:12,NIFTY-25Nov2025-26300-CE,BUY,150,39,Traded,1.35225E+13,7,,,,11/21/2025 4:42,CE,"t7=timestamp('GMT',2025,11,21,4,42,33)","line.new(t7,low,t7,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,
11/21/2025 10:14,NIFTY-25Nov2025-26300-CE,SELL,150,36.55,Traded,1.16225E+13,8,-2.5,-375,1:50,11/21/2025 4:44,CE,"t8=timestamp('GMT',2025,11,21,4,44,23)","line.new(t8,low,t8,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t8,low,t8,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t8,low,t8,high,xloc.bar_time,extend.both,color.red,line.style_solid,2)","label.new(t8, high * 1.02, text=str.tostring(-2.5), xloc=xloc.bar_time, style=label.style_label_center, color=color.red, textcolor=color.white, size=size.small)"
11/21/2025 10:17,NIFTY-25Nov2025-25900-PE,BUY,75,43.15,Traded,1.19225E+13,9,,,,11/21/2025 4:47,PE,"t9=timestamp('GMT',2025,11,21,4,47,42)","line.new(t9,low,t9,high,xloc.bar_time,extend.both,color.yellow,line.style_solid,2)",,,
11/21/2025 10:18,NIFTY-25Nov2025-25900-PE,SELL,75,45.45,Traded,1.30225E+13,10,2.3,172,0:54,11/21/2025 4:48,PE,"t10=timestamp('GMT',2025,11,21,4,48,36)","line.new(t10,low,t10,high,xloc.bar_time,extend.both,color.blue,line.style_solid,1)","line.new(t10,low,t10,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t10,low,t10,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)","label.new(t10, high * 1.02, text=str.tostring(2.3), xloc=xloc.bar_time, style=label.style_label_center, color=color.green, textcolor=color.white, size=size.small)"
11/21/2025 10:24,NIFTY-25Nov2025-26300-CE,BUY,150,34.8,Traded,1.12225E+13,11,,,,11/21/2025 4:54,CE,"t11=timestamp('GMT',2025,11,21,4,54,37)","line.new(t11,low,t11,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,
